Dataset,Backbone,Seed,Frozen_Acc,SETTA_Acc,Delta,Improved,Tied,Worse,Test_Change_Rate,Test_Prob_L1_Shift,Alpha,Beta,K,Metric,Num_Props,Train_Time,SETTA_Time,Preprocess_Time,Used_Cache
PubMed,GraphTransformer,50,75.10000467300415,76.40000581741333,1.3000011444091797,1,0,0,7.800000160932541,0.08038674294948578,0.5,0.2,5,cosine,10,0.0,0.16231489996425807,3.916994099970907,1
PubMed,GraphTransformer,51,72.60000109672546,74.30000305175781,1.7000019550323486,1,0,0,8.100000023841858,0.08808519691228867,0.5,0.2,5,cosine,10,0.0,0.16188270004931837,3.916994099970907,1
PubMed,GradGateGNN,42,72.50000238418579,75.80000162124634,3.299999237060547,1,0,0,12.300000339746475,0.14899291098117828,0.5,0.2,5,cosine,10,0.0,0.1609424001071602,3.916994099970907,1
PubMed,GradGateGNN,43,75.00000596046448,78.4000039100647,3.3999979496002197,1,0,0,10.200000554323196,0.13698886334896088,0.5,0.2,5,cosine,10,0.0,0.16104909998830408,3.916994099970907,1
PubMed,GradGateGNN,44,75.80000162124634,78.1000018119812,2.3000001907348633,1,0,0,6.500000506639481,0.07344376295804977,0.5,0.2,5,cosine,10,0.0,0.1623363000107929,3.916994099970907,1
PubMed,GradGateGNN,45,75.00000596046448,77.90000438690186,2.899998426437378,1,0,0,10.700000822544098,0.13225790858268738,0.5,0.2,5,cosine,10,0.0,0.16088089998811483,3.916994099970907,1
PubMed,GradGateGNN,46,76.80000066757202,78.80000472068787,2.0000040531158447,1,0,0,9.800000488758087,0.1520877480506897,0.5,0.2,5,cosine,10,0.0,0.16109840001445264,3.916994099970907,1
PubMed,GradGateGNN,47,76.60000324249268,80.10000586509705,3.50000262260437,1,0,0,6.800000369548798,0.0865572988986969,0.5,0.2,5,cosine,10,0.0,0.16091410000808537,3.916994099970907,1
PubMed,GradGateGNN,48,76.2000024318695,79.10000085830688,2.899998426437378,1,0,0,8.000000566244125,0.1015392616391182,0.5,0.2,5,cosine,10,0.0,0.16157730005215853,3.916994099970907,1
PubMed,GradGateGNN,49,77.80000567436218,78.4000039100647,0.5999982357025146,1,0,0,6.500000506639481,0.08004249632358551,0.5,0.2,5,cosine,10,0.0,0.16190989990718663,3.916994099970907,1
PubMed,GradGateGNN,50,76.2000024318695,78.30000519752502,2.1000027656555176,1,0,0,8.60000029206276,0.13155964016914368,0.5,0.2,5,cosine,10,0.0,0.1619823999935761,3.916994099970907,1
PubMed,GradGateGNN,51,76.40000581741333,77.80000567436218,1.3999998569488525,1,0,0,6.700000166893005,0.07605832070112228,0.5,0.2,5,cosine,10,0.0,0.16143039998132735,3.916994099970907,1
Computers,GCN,42,89.37466144561768,89.62915539741516,0.25449395179748535,1,0,0,1.9360115751624107,0.05414207652211189,0.4,1.0,25,cosine,1,0.0,0.08610099996440113,2.0041293000103906,1
Computers,GCN,43,89.70187306404114,89.63824510574341,-0.06362795829772949,0,0,1,1.8632976338267326,0.05129183828830719,0.4,1.0,25,cosine,1,0.0,0.08496120001655072,2.0041293000103906,1
Computers,GCN,44,89.20196294784546,89.34739232063293,0.14542937278747559,1,0,0,1.9178330898284912,0.04888780787587166,0.4,1.0,25,cosine,1,0.0,0.08511500002350658,2.0041293000103906,1
Computers,GCN,45,89.29285407066345,89.63824510574341,0.34539103507995605,1,0,0,1.8542082980275154,0.0503033772110939,0.4,1.0,25,cosine,1,0.0,0.0849810999352485,2.0041293000103906,1
Computers,GCN,46,89.55644369125366,89.90183472633362,0.34539103507995605,1,0,0,1.8996546044945717,0.047231584787368774,0.4,1.0,25,cosine,1,0.0,0.0853057000786066,2.0041293000103906,1
Computers,GCN,47,89.53826427459717,89.76549506187439,0.22723078727722168,1,0,0,1.8905652686953545,0.04820249602198601,0.4,1.0,25,cosine,1,0.0,0.08468449988868088,2.0041293000103906,1
Computers,GCN,48,89.63824510574341,89.85639214515686,0.21814703941345215,1,0,0,1.7451371997594833,0.04743920639157295,0.4,1.0,25,cosine,1,0.0,0.0672885999083519,2.0041293000103906,1
Computers,GCN,49,89.44737315177917,89.59280252456665,0.14542937278747559,1,0,0,1.8360298126935959,0.051042087376117706,0.4,1.0,25,cosine,1,0.0,0.06721929996274412,2.0041293000103906,1
Computers,GCN,50,89.3201231956482,89.6746039390564,0.3544807434082031,1,0,0,1.9269224256277084,0.046120535582304,0.4,1.0,25,cosine,1,0.0,0.06670959992334247,2.0041293000103906,1
Computers,GCN,51,89.12925124168396,89.16560411453247,0.03635287284851074,1,0,0,1.872386783361435,0.046265896409749985,0.4,1.0,25,cosine,1,0.0,0.06691579998005182,2.0041293000103906,1
Computers,GraphSAGE,42,88.72023224830627,89.35648202896118,0.6362497806549072,1,0,0,1.8178513273596764,0.045921869575977325,0.4,1.0,25,cosine,1,0.0,0.06734870001673698,2.0041293000103906,1
Computers,GraphSAGE,43,88.9474630355835,88.93837332725525,-0.00908970832824707,0,0,1,1.8996546044945717,0.04426438361406326,0.4,1.0,25,cosine,1,0.0,0.0620527999708429,2.0041293000103906,1
Computers,GraphSAGE,44,88.97473216056824,88.96564245223999,-0.00908970832824707,0,0,1,2.0996183156967163,0.04370400682091713,0.4,1.0,25,cosine,1,0.0,0.06193059997167438,2.0041293000103906,1
Computers,GraphSAGE,45,89.31103348731995,89.62007164955139,0.3090381622314453,1,0,0,1.5451735816895962,0.04290018230676651,0.4,1.0,25,cosine,1,0.0,0.06240619998425245,2.0041293000103906,1
Computers,GraphSAGE,46,88.54753971099854,88.92019391059875,0.3726541996002197,1,0,0,2.199600078165531,0.04979123920202255,0.4,1.0,25,cosine,1,0.0,0.06188519997522235,2.0041293000103906,1
Computers,GraphSAGE,47,88.61116170883179,88.84748220443726,0.23632049560546875,1,0,0,2.1723322570323944,0.047623567283153534,0.4,1.0,25,cosine,1,0.0,0.06204640003852546,2.0041293000103906,1
