Dataset,Seed,N_test,GCN_Acc,SETTA_Acc,Delta_Acc,Accepted_Test,Accepted_Test_Ratio,Kept_Test,Changed,Changed_Ratio,Changed_Accepted,Changed_Kept,Wrong_to_Correct,Correct_to_Wrong,Wrong_to_Wrong,Correct_to_Correct,Net_Corrected,Wrong_to_Correct_Rate,Correct_to_Wrong_Rate,Net_Corrected_Rate,Accepted_GCN_Acc,Accepted_SETTA_Acc,Accepted_Delta_Acc,Kept_GCN_Acc,Kept_SETTA_Acc,Kept_Delta_Acc,Used_Steps,Stopped_Early
PubMed,48,1000,78.8,80.8,2.0,488,48.8,512,91,9.1,91,0,54,34,158,754,20,5.4,3.4,2.0,68.2377,72.3361,4.0984,88.8672,88.8672,0.0,10,0
PubMed,49,1000,78.9,81.2,2.3,477,47.7,523,87,8.7,87,0,52,29,159,760,23,5.2,2.9,2.3,68.3438,73.1656,4.8218,88.5277,88.5277,0.0,10,0
PubMed,50,1000,79.2,80.9,1.7,483,48.3,517,84,8.4,84,0,48,31,160,761,17,4.8,3.1,1.7,69.1511,72.6708,3.5197,88.588,88.588,0.0,10,0
PubMed,51,1000,79.2,80.6,1.4,458,45.8,542,82,8.2,82,0,46,32,162,760,14,4.6,3.2,1.4,68.559,71.6157,3.0568,88.1919,88.1919,0.0,10,0
Computers,42,11002,89.0293,88.9202,-0.1091,3512,31.9215,7490,230,2.0905,230,0,96,108,1111,9687,-12,0.8726,0.9816,-0.1091,73.4624,73.1207,-0.3417,96.3284,96.3284,0.0,1,0
Computers,43,11002,89.711,89.6473,-0.0636,3404,30.9398,7598,200,1.8179,200,0,84,91,1048,9779,-7,0.7635,0.8271,-0.0636,74.765,74.5593,-0.2056,96.407,96.407,0.0,1,0
Computers,44,11002,89.2747,89.3928,0.1182,3211,29.1856,7791,208,1.8906,208,0,99,86,1081,9736,13,0.8998,0.7817,0.1182,72.5631,72.9679,0.4049,96.1622,96.1622,0.0,1,0
Computers,45,11002,89.311,89.6382,0.3272,3437,31.2398,7565,202,1.836,202,0,111,75,1065,9751,36,1.0089,0.6817,0.3272,73.5816,74.629,1.0474,96.4574,96.4574,0.0,1,0
Computers,46,11002,89.6655,90.1109,0.4454,3315,30.1309,7687,219,1.9905,219,0,122,73,1015,9792,49,1.1089,0.6635,0.4454,74.0573,75.5354,1.4781,96.3965,96.3965,0.0,1,0
Computers,47,11002,89.4474,90.0564,0.609,3257,29.6037,7745,215,1.9542,215,0,129,62,1032,9779,67,1.1725,0.5635,0.609,73.0734,75.1305,2.0571,96.3331,96.3331,0.0,1,0
