dataset,seed,method,acc,train_time,post_time,runtime,one_time_preprocess,amortized_runtime
PubMed,46,SETTA,81.2000036239624,0.6705550999613479,0.068746899953112,0.7393019999144599,3.8024478999432176,1.1195467899087816
PubMed,46,APPNP,79.80000376701355,1.0194910999853164,0.0,1.0194910999853164,0.0,1.0194910999853164
PubMed,47,GCN,78.7000060081482,0.6859254000009969,0.0,0.6859254000009969,0.0,0.6859254000009969
PubMed,47,C&S,79.50000166893005,0.6859254000009969,0.09702530002687126,0.7829507000278682,0.0,0.7829507000278682
PubMed,47,SETTA,80.9000015258789,0.6859254000009969,0.06877310003619641,0.7546985000371933,3.8024478999432176,1.134943290031515
PubMed,47,APPNP,79.90000247955322,0.6676851999945939,0.0,0.6676851999945939,0.0,0.6676851999945939
PubMed,48,GCN,78.80000472068787,0.5664004000136629,0.0,0.5664004000136629,0.0,0.5664004000136629
PubMed,48,C&S,79.29999828338623,0.5664004000136629,0.09722009999677539,0.6636205000104383,0.0,0.6636205000104383
PubMed,48,SETTA,80.80000281333923,0.5664004000136629,0.06867750000674278,0.6350779000204057,3.8024478999432176,1.0153226900147274
PubMed,48,APPNP,79.80000376701355,0.8105959999375045,0.0,0.8105959999375045,0.0,0.8105959999375045
PubMed,49,GCN,78.90000343322754,0.6827549999579787,0.0,0.6827549999579787,0.0,0.6827549999579787
PubMed,49,C&S,79.79999780654907,0.6827549999579787,0.09763079998083413,0.7803857999388129,0.0,0.7803857999388129
PubMed,49,SETTA,81.2000036239624,0.6827549999579787,0.13170600007288158,0.8144610000308603,3.8024478999432176,1.194705790025182
PubMed,49,APPNP,79.90000247955322,1.084162799990736,0.0,1.084162799990736,0.0,1.084162799990736
PubMed,50,GCN,79.20000553131104,0.7760852000210434,0.0,0.7760852000210434,0.0,0.7760852000210434
PubMed,50,C&S,79.90000247955322,0.7760852000210434,0.09669479995500296,0.8727799999760464,0.0,0.8727799999760464
PubMed,50,SETTA,80.9000015258789,0.7760852000210434,0.12402210000436753,0.900107300025411,3.8024478999432176,1.2803520900197327
PubMed,50,APPNP,80.10000586509705,0.8916849000379443,0.0,0.8916849000379443,0.0,0.8916849000379443
PubMed,51,GCN,79.20000553131104,0.828499999945052,0.0,0.828499999945052,0.0,0.828499999945052
PubMed,51,C&S,79.79999780654907,0.828499999945052,0.09864989994093776,0.9271498998859897,0.0,0.9271498998859897
PubMed,51,SETTA,80.60000538825989,0.828499999945052,0.13288319995626807,0.96138319990132,3.8024478999432176,1.3416279898956418
PubMed,51,APPNP,80.0000011920929,0.8062499999068677,0.0,0.8062499999068677,0.0,0.8062499999068677
Computers,42,GCN,89.37466144561768,1.4928674000548199,0.0,1.4928674000548199,0.0,1.4928674000548199
Computers,42,C&S,88.68387341499329,1.4928674000548199,0.804501699982211,2.297369100037031,0.0,2.297369100037031
Computers,42,SETTA,89.62915539741516,1.4928674000548199,0.017179499962367117,1.510046900017187,2.069959199987352,1.7170428200159222
Computers,42,APPNP,88.929283618927,1.4645370999351144,0.0,1.4645370999351144,0.0,1.4645370999351144
Computers,43,GCN,89.64733481407166,1.3812804999761283,0.0,1.3812804999761283,0.0,1.3812804999761283
Computers,43,C&S,89.00200128555298,1.3812804999761283,0.7828687999863178,2.164149299962446,0.0,2.164149299962446
Computers,43,SETTA,89.6746039390564,1.3812804999761283,0.017030299990437925,1.3983107999665663,2.069959199987352,1.6053067199653015
Computers,43,APPNP,88.92019391059875,1.5450243999948725,0.0,1.5450243999948725,0.0,1.5450243999948725
Computers,44,GCN,89.3019437789917,1.445516600040719,0.0,1.445516600040719,0.0,1.445516600040719
